joint_int_id,address,joint_str_id,name
304,3628 Broadway,unione-restaurant-new-york,Unione Restaurant
305,3640 Broadway,new-happy-family-new-york,New Happy Family
306,1822 Amsterdam Ave,wimpys-i-new-york,Wimpy's I
307,3605 Broadway,casa-bella-new-york,Casa Bella
308,528 W 145th St,jimbos-hamburger-palace-new-york-4,Jimbo's Hamburger Palace
309,1739 Amsterdam Avenue,village-fried-chicken-new-york-2,Village Fried Chicken
310,695 St Nicholas Ave,checkers-new-york-20,Checkers
311,274 W 145th St,jumbos-hamburger-place-new-york,Jumbo's Hamburger Place
312,3633 Broadway,crown-fried-chicken-new-york-13,Crown Fried Chicken
313,3645 Broadway,kfc-new-york-31,KFC
314,2730 Frederick Douglass Blvd,popeyes-new-york-26,Popeyes
315,741 Saint Nicholas Ave,texas-star-new-york,Texas Star
316,2496 7th Ave,cea-lo-cafe-new-york,Cea-Lo Cafe
317,1840 Amsterdam,savory-deli-new-york,Savory Deli
318,317 W 141st St,queen-sheeba-new-york,Queen Sheeba
319,1830 Amsterdam Avenue,beli-restaurant-new-york,Beli Restaurant
320,3662 Broadway,taqueria-san-pedro-new-york,Taqueria San Pedro
321,518 W 145th St,taco-express-new-york-2,Taco Express
322,501 W 145th St,jesus-taco-new-york-2,Jesus Taco
323,1726 Amsterdam Ave,maldonado-restaurant-new-york,Maldonado Restaurant
324,3645 Broadway,taco-bell-new-york-27,Taco Bell
325,2272 Frederick Douglass Blvd,angel-of-harlem-new-york,Angel of Harlem
326,1980 Adam Clayton Powell Blvd,island-choice-restaurant-new-york,Island Choice Restaurant
327,1980 Adam Clayton Powell Jr. Blvd.,freddys-soul-caribbean-restaurant-new-york,Freddy's Soul Caribbean Restaurant
328,2070 Adam Clayton Powell Blvd,new-harlem-besame-latino-soul-lounge-new-york,New Harlem Besame Latino Soul Lounge
329,2353 8th Ave,mannas-manhattan,Manna's
330,2133 7th Ave,el-caribe-in-harlem-new-york,El Caribe in Harlem
331,511 W 125th St,el-nuevo-tina-new-york,El Nuevo Tina
332,1354 Amsterdam Ave,boca-chica-seafood-restaurant-manhattan,Boca Chica Seafood Restaurant
333,465 W 125th St,new-aroma-chinese-restaurant-new-york,New Aroma Chinese Restaurant
334,2025 7th ave,new-king-wok-restaurant-new-york,New King Wok Restaurant
335,2162 8th Ave,peking-kitchen-ii-new-york,Peking Kitchen II
336,2393 Frederick Douglass B,hong-cheong-kitchen-new-york,Hong Cheong Kitchen
337,2060 Adam Clayton Powell,super-red-star-kitchen-new-york,Super Red Star Kitchen
338,306 St Nicholas Ave,tang-s-new-york,Tang S
339,1461 Amsterdam Ave,great-china-restaurant-new-york,Great China Restaurant
340,2367 Frederick Douglas Blvd,nabe-harlem-new-york-4,Nabe Harlem
341,1467 Amsterdam Avenue,curry-ya-new-york-2,Curry Ya
342,2071 7th Ave,a1-asian-fusion-new-york-7,A1 Asian Fusion
343,1467 Amsterdam Ave,rai-rai-ken-new-york-6,Rai Rai Ken
344,2065 Adam Clayton Powell Jr Blvd,accra-restaurant-new-york,Accra Restaurant
345,2046 Adam Clayton Powell Jr Blvd,chez-alain-new-york,Chez Alain
346,2479 Frederick Douglas Blvd,chez-jacob-new-york,Chez Jacob
347,2211 Frederick Douglass Blvd,vinateria-new-york-3,Vinateria
348,227 Lenox Ave,sottocasa-pizzeria-harlem-new-york,Sottocasa Pizzeria - Harlem
349,2168 Frederick Douglass Blvd,lido-new-york,Lido
350,196 Lenox Ave,settepani-harlem-4,Settepani
351,2288 Frederick Douglass Blvd,custom-fuel-pizza-new-york,Custom Fuel Pizza
352,2224 Frederick Douglass Blvd,hop-house-harlem-new-york-2,Hop House Harlem
353,2143 7th Ave,oui-oui-crepes-and-pizza-new-york-2,Oui Oui Crepes and Pizza
354,409 W 125th St,dominos-pizza-new-york-5,Domino's Pizza
355,280 Saint Nicholas Ave,chuck-e-cheeses-new-york,Chuck E Cheese's
356,377 W 125th St,little-caesars-pizza-new-york-2,Little Caesar's Pizza
357,341 St Nicholas Ave,maison-harlem-new-york,Maison Harlem
358,231 Lenox Ave,cheri-new-york-2,Cheri
359,2280 Frederick Douglass Blvd,savann-restaurant-new-york-2,Savann Restaurant
360,2153 Frederick Douglass Blvd,harlem-tavern-new-york-2,Harlem Tavern
361,2223 Frederick Douglass Blvd,chocolat-restaurant-lounge-new-york,Chocolat Restaurant Lounge
362,2367 Frederick Douglass Blvd,bungalow-lounge-new-york,Bungalow Lounge
363,206 W 118th St,mintons-new-york,Minton's
364,261 W 125th Street,red-lobster-new-york-5,Red Lobster
365,2367 Frederick Douglass Blvd,harlem-bar-b-q-new-york,Harlem Bar-B-Q
366,2319 Frederick Douglass Blvd,buffalo-wild-wings-new-york-2,Buffalo Wild Wings
367,2210 Frederick Douglass Blvd,moca-bar-and-lounge-new-york,Moca Bar & Lounge
368,2190 Frederick Douglass Blvd,harlem-burger-co-new-york-3,Harlem Burger Co
369,1345 Amsterdam Ave,jimbos-hamburger-palace-new-york-10,Jimbo's Hamburger Palace
370,291 Saint Nicholas Ave,checkers-new-york-73,Checker's
371,2092-2094 7th Ave,white-castle-new-york-3,White Castle
372,148 W 125th St,mcdonalds-new-york-152,McDonald's
